t,x,y,z,qx,qy,qz,qw
1747804811.5871904,-0.8755350112915039,0.06375249475240707,0.032867182046175,-0.0024595356080681086,-0.02639356255531311,-0.05308237299323082,-0.9982383251190186
1747804811.6071804,-0.8755320906639099,0.06377772986888885,0.03289034962654114,-0.005522200372070074,-0.02667049504816532,-0.05336504802107811,-0.9982036352157593
1747804811.6187596,-0.8755388259887695,0.06378714740276337,0.03290514275431633,-0.005748589988797903,-0.026486627757549286,-0.053223516792058945,-0.998214840888977
1747804811.6375124,-0.8755307197570801,0.06378596276044846,0.03290390968322754,-0.005399519577622414,-0.026628538966178894,-0.053339969366788864,-0.9982067346572876
1747804811.6577725,-0.8755310773849487,0.06379308551549911,0.03289807587862015,-0.005113820545375347,-0.026739852502942085,-0.05325356498360634,-0.9982098340988159
1747804811.667455,-0.8755407333374023,0.06378103792667389,0.032891664654016495,-0.005440212320536375,-0.026374200358986855,-0.05318935960531235,-0.9982213377952576
1747804811.6874437,-0.8755325078964233,0.063797727227211,0.032918043434619904,-0.0045232512056827545,-0.02609816938638687,-0.05312521383166313,-0.9982365369796753
1747804811.6973941,-0.8755595684051514,0.0636836513876915,0.03276774287223816,-0.0019847052171826363,-0.027259070426225662,-0.05327305570244789,-0.9982059001922607
1747804811.7174985,-0.8755368590354919,0.06371793895959854,0.032821737229824066,-0.0036739164497703314,-0.02703871764242649,-0.052694112062454224,-0.9982378482818604
1747804811.727329,-0.8755728006362915,0.06374775618314743,0.032849740236997604,-0.005063159856945276,-0.02656957134604454,-0.05335721746087074,-0.9982091188430786
1747804811.7373345,-0.8755502104759216,0.0637974664568901,0.032916877418756485,-0.005477029364556074,-0.026397669687867165,-0.05283328518271446,-0.9982393980026245
1747804811.7573228,-0.8755565285682678,0.06371771544218063,0.032833900302648544,-0.0033701329957693815,-0.026744935661554337,-0.05293271318078041,-0.9982342720031738
1747804811.7773652,-0.8755590319633484,0.06377331912517548,0.032883431762456894,-0.003888568375259638,-0.02624969184398651,-0.05324903503060341,-0.9982286095619202
1747804811.787314,-0.8755610585212708,0.06378766894340515,0.032867174595594406,-0.0055111791007220745,-0.026490146294236183,-0.0533968023955822,-0.9982067942619324
1747804811.807219,-0.8755572438240051,0.06377233564853668,0.032887935638427734,-0.005322127137333155,-0.026510018855333328,-0.05323556065559387,-0.9982158541679382
1747804811.8274572,-0.8755501508712769,0.06374333798885345,0.03284013271331787,-0.004904290661215782,-0.026742560788989067,-0.05304602533578873,-0.9982219338417053
1747804811.8372548,-0.875551164150238,0.06379027664661407,0.0329093262553215,-0.004756757523864508,-0.025977805256843567,-0.05301801487803459,-0.9982442855834961
1747804811.8573463,-0.8755511045455933,0.06377974897623062,0.03288954496383667,-0.004878919571638107,-0.02606980875134468,-0.05338292568922043,-0.9982218146324158
1747804811.8672788,-0.8755437731742859,0.06380634754896164,0.0328909270465374,-0.005556092131882906,-0.0264284685254097,-0.05335880070924759,-0.9982101917266846
1747804811.887416,-0.8755614161491394,0.06376243382692337,0.03285931050777435,-0.004960609134286642,-0.02681344747543335,-0.05374274402856827,-0.9981824159622192
1747804811.8973656,-0.8755365610122681,0.06380773335695267,0.03293401002883911,-0.004514014348387718,-0.0261843279004097,-0.05265769734978676,-0.9982591271400452
1747804811.9175482,-0.8755340576171875,0.063738152384758,0.03285552188754082,-0.0029587566386908293,-0.026741093024611473,-0.05307815968990326,-0.9982278347015381
1747804811.9274323,-0.8755554556846619,0.06378490477800369,0.03288477659225464,-0.005546273197978735,-0.026829227805137634,-0.0534563884139061,-0.9981943368911743
1747804811.937406,-0.8755597472190857,0.06381215155124664,0.032938871532678604,-0.005340761970728636,-0.026588458567857742,-0.053003039211034775,-0.9982261061668396
1747804811.95791,-0.8755349516868591,0.06377886980772018,0.032906901091337204,-0.004635143559426069,-0.026933984830975533,-0.0531720370054245,-0.9982113838195801
1747804811.9877095,-0.8755179047584534,0.06373311579227448,0.03281863033771515,-0.004219761583954096,-0.026825064793229103,-0.05300462990999222,-0.9982250332832336
1747804812.0274782,-0.8755441904067993,0.06375466287136078,0.032842665910720825,-0.004699867684394121,-0.026316093280911446,-0.0537717305123806,-0.9981954097747803
1747804812.0577946,-0.8755379319190979,0.06376426666975021,0.03287395089864731,-0.005102347582578659,-0.026641016826033592,-0.05311577022075653,-0.998219907283783
1747804812.0873878,-0.8755418062210083,0.0637892335653305,0.03287593647837639,-0.005957922898232937,-0.026200229302048683,-0.05342644825577736,-0.9982103109359741
1747804812.117798,-0.8755683898925781,0.06377726793289185,0.0328981876373291,-0.003984841052442789,-0.02666664682328701,-0.053167425096035004,-0.9982215762138367
1747804812.1475153,-0.8755565285682678,0.06377197802066803,0.03284927085042,-0.004663599189370871,-0.02654937654733658,-0.05342498794198036,-0.9982080459594727
1747804812.1776485,-0.8755596280097961,0.06378526985645294,0.03289611637592316,-0.005396837368607521,-0.02667400613427162,-0.05315428599715233,-0.9982154369354248
1747804812.187469,-0.875555157661438,0.06381233036518097,0.032933712005615234,-0.004023117478936911,-0.025805030018091202,-0.05325491726398468,-0.9982393980026245
1747804812.2073827,-0.8755440711975098,0.06372449547052383,0.032847583293914795,-0.002505257958546281,-0.026703329756855965,-0.052814412862062454,-0.9982441067695618
1747804812.2275214,-0.8755449056625366,0.06373433023691177,0.03284793719649315,-0.002682967809960246,-0.02722986973822117,-0.05278639867901802,-0.9982309341430664
1747804812.2375195,-0.8755381107330322,0.06372582167387009,0.03285942226648331,-0.002301406115293503,-0.027002030983567238,-0.052767205983400345,-0.9982390999794006
1747804812.2575538,-0.8755338191986084,0.06380253285169601,0.032928213477134705,-0.0042978450655937195,-0.029053499922156334,-0.05261070281267166,-0.9981831908226013
1747804812.26743,-0.8755627870559692,0.06377718597650528,0.03291581571102142,-0.003966049756854773,-0.02609572745859623,-0.05315170809626579,-0.9982376098632812
1747804812.2874298,-0.8755526542663574,0.06379412859678268,0.032937053591012955,-0.004719087854027748,-0.02577047422528267,-0.05308111384510994,-0.9982465505599976
1747804812.297451,-0.8755576610565186,0.0637960359454155,0.032923225313425064,-0.004408418200910091,-0.026577115058898926,-0.05314268916845322,-0.9982234835624695
1747804812.3173895,-0.8755390048027039,0.0637730062007904,0.03285757824778557,-0.0047418284229934216,-0.026129137724637985,-0.05361947417259216,-0.9982083439826965
1747804812.3274,-0.8755432367324829,0.06378015130758286,0.03287540748715401,-0.00488838879391551,-0.025954963639378548,-0.05326036363840103,-0.9982313513755798
1747804812.3373258,-0.8755432367324829,0.06378015130758286,0.03287540748715401,-0.00488838879391551,-0.025954963639378548,-0.05326036363840103,-0.9982313513755798
1747804812.3475153,-0.8755443692207336,0.06370260566473007,0.032806769013404846,-0.0036521265283226967,-0.026846032589673996,-0.052827734500169754,-0.9982360601425171
1747804812.3774424,-0.875527024269104,0.06371618062257767,0.03283115103840828,-0.004176415037363768,-0.0269444789737463,-0.05284382402896881,-0.998230516910553
1747804812.3974268,-0.875583291053772,0.06378468126058578,0.032885581254959106,-0.002993142930790782,-0.026349375024437904,-0.053294189274311066,-0.9982267022132874
1747804812.417465,-0.875525951385498,0.06374208629131317,0.03284798562526703,-0.0037282099947333336,-0.02755768597126007,-0.052956484258174896,-0.998209536075592
1747804812.4373846,-0.8755655884742737,0.06378665566444397,0.03291330486536026,-0.004807115066796541,-0.026337450370192528,-0.05295630916953087,-0.9982379674911499
1747804812.4576254,-0.8755675554275513,0.06379715353250504,0.03290632367134094,-0.0051778643392026424,-0.02641398273408413,-0.05315352976322174,-0.998223602771759
1747804812.467526,-0.8755720257759094,0.06366641074419022,0.03276267647743225,-0.0018393677892163396,-0.02719506062567234,-0.05316208302974701,-0.9982138276100159
1747804812.4874651,-0.8755955100059509,0.0638081356883049,0.03293240815401077,-0.004961975384503603,-0.02660650759935379,-0.05306868255138397,-0.9982240796089172
1747804812.497645,-0.8755549192428589,0.06377813220024109,0.03288862481713295,-0.0055372389033436775,-0.02601839043200016,-0.05358148738741875,-0.9982091188430786
1747804812.5173206,-0.8755645155906677,0.06378296762704849,0.03286020830273628,-0.003788999980315566,-0.026131488382816315,-0.053125523030757904,-0.9982386827468872
1747804812.5479667,-0.8755480051040649,0.06372763961553574,0.03284008800983429,-0.002639961428940296,-0.027301879599690437,-0.05262431129813194,-0.998237669467926
1747804812.5776453,-0.8755722641944885,0.06380166858434677,0.032909899950027466,-0.00431203655898571,-0.025736475363373756,-0.05315275117754936,-0.998245358467102
1747804812.597855,-0.8755404949188232,0.06378836929798126,0.03289119154214859,-0.005157572217285633,-0.0266563780605793,-0.053555361926555634,-0.9981957077980042
1747804812.6074717,-0.8755422234535217,0.0637822225689888,0.03291340172290802,-0.005189348943531513,-0.02655537985265255,-0.05310095474123955,-0.9982225298881531
1747804812.6273675,-0.8755711913108826,0.06377021223306656,0.03287634253501892,-0.003966204822063446,-0.026790551841259003,-0.052995715290308,-0.9982274174690247
1747804812.6374257,-0.8755635023117065,0.06378047168254852,0.03292173147201538,-0.003789824666455388,-0.026637567207217216,-0.05307435616850853,-0.9982280135154724
1747804812.6573424,-0.8755466341972351,0.06379655003547668,0.03288969025015831,-0.00587470130994916,-0.026230819523334503,-0.05337054282426834,-0.9982129335403442
1747804812.6674469,-0.8755549192428589,0.0637734979391098,0.032880090177059174,-0.005712947808206081,-0.026592588052153587,-0.05313311517238617,-0.9982169270515442
1747804812.687528,-0.8755536675453186,0.06376474350690842,0.032877154648303986,-0.004077768884599209,-0.02666822075843811,-0.05326177924871445,-0.9982161521911621
1747804812.6974869,-0.875551164150238,0.06379500031471252,0.03287119418382645,-0.00532149150967598,-0.02638963982462883,-0.05344286933541298,-0.9982080459594727
1747804812.7175505,-0.8755331039428711,0.06369210034608841,0.0327596515417099,-0.0021658053155988455,-0.026855802163481712,-0.053174395114183426,-0.9982216954231262
1747804812.7273781,-0.8755484819412231,0.0637471079826355,0.032836612313985825,-0.004527861252427101,-0.026996558532118797,-0.0532793365418911,-0.9982044100761414
1747804812.7474427,-0.8755196928977966,0.06372673809528351,0.03284414857625961,-0.003917466849088669,-0.026642311364412308,-0.052993472665548325,-0.9982317090034485
1747804812.7671618,-0.8755624890327454,0.063766248524189,0.03287797421216965,-0.003496278077363968,-0.02652609534561634,-0.05336068570613861,-0.9982168078422546
1747804812.7771678,-0.8755268454551697,0.0637931302189827,0.03289088234305382,-0.005461229011416435,-0.02669268473982811,-0.05340078845620155,-0.9982014298439026
1747804812.7971659,-0.8755518198013306,0.06378338485956192,0.03286992013454437,-0.006177407689392567,-0.026244957000017166,-0.053485848009586334,-0.9982045888900757
1747804812.8072107,-0.8755588531494141,0.06377656012773514,0.03286900743842125,-0.004259945824742317,-0.02618762105703354,-0.053137220442295074,-0.998234748840332
1747804812.827212,-0.8755455017089844,0.06375361979007721,0.03284778445959091,-0.0048204585909843445,-0.0264715775847435,-0.05347153916954994,-0.9982068538665771
1747804812.8374603,-0.8755407929420471,0.06379832327365875,0.03289277106523514,-0.005046547390520573,-0.026285288855433464,-0.05331028997898102,-0.9982193112373352
1747804812.857377,-0.8755415678024292,0.06376758217811584,0.03284114599227905,-0.004661204759031534,-0.02662401832640171,-0.05339588224887848,-0.9982076287269592
1747804812.8679895,-0.8755694627761841,0.0638001561164856,0.03290839120745659,-0.003943668678402901,-0.025999044999480247,-0.05330553278326988,-0.9982319474220276
1747804812.8873172,-0.8755641579627991,0.06377099454402924,0.03287067636847496,-0.004016832448542118,-0.026368891820311546,-0.0533064603805542,-0.9982219338417053
1747804812.8972187,-0.8755274415016174,0.06380964070558548,0.03291816636919975,-0.005053478758782148,-0.025996651500463486,-0.05325917527079582,-0.9982295632362366
1747804812.9072573,-0.8755407333374023,0.06379128992557526,0.03290022909641266,-0.005053444299846888,-0.02655055560171604,-0.05308373272418976,-0.9982243180274963
1747804812.937345,-0.8755524158477783,0.06378695368766785,0.0328700877726078,-0.005687328986823559,-0.02658979222178459,-0.0531545989215374,-0.9982160925865173
1747804812.9475565,-0.8755720853805542,0.06375933438539505,0.032898612320423126,-0.0030451063066720963,-0.026617439463734627,-0.05304814130067825,-0.9982326030731201
1747804812.9675694,-0.8755389451980591,0.06379131972789764,0.03289685398340225,-0.005909773521125317,-0.026760060340166092,-0.05309808626770973,-0.9982131719589233
1747804812.9812505,-0.8755393624305725,0.06377934664487839,0.03288891538977623,-0.006088586058467627,-0.026810478419065475,-0.053006310015916824,-0.9982156753540039
1747804812.9971638,-0.8755592107772827,0.06368857622146606,0.032809846103191376,-0.0008366457186639309,-0.027313293889164925,-0.05283137410879135,-0.9982295632362366
1747804813.007384,-0.8755280375480652,0.06372513622045517,0.032813526690006256,-0.0035299791488796473,-0.0268983393907547,-0.052861038595438004,-0.9982333183288574
1747804813.0275512,-0.8755398392677307,0.06372091919183731,0.032852090895175934,-0.0038069398142397404,-0.027239330112934113,-0.052923060953617096,-0.9982197880744934
1747804813.037472,-0.875535786151886,0.06373465806245804,0.032845329493284225,-0.0032369429245591164,-0.026636218652129173,-0.053055644035339355,-0.9982309937477112
1747804813.0573413,-0.8755435347557068,0.06377753615379333,0.032887257635593414,-0.005879983305931091,-0.02655247040092945,-0.05333621799945831,-0.9982062578201294
1747804813.067349,-0.8755379915237427,0.06373056769371033,0.032835014164447784,-0.003432751400396228,-0.02693447284400463,-0.05293916165828705,-0.9982286095619202
1747804813.0874033,-0.8755493760108948,0.06378743052482605,0.03286066651344299,-0.00464921910315752,-0.026523396372795105,-0.053785696625709534,-0.998189389705658
1747804813.0974405,-0.8755421042442322,0.06378033757209778,0.03289129212498665,-0.0058005377650260925,-0.026465045288205147,-0.05308076739311218,-0.9982226490974426
1747804813.1174455,-0.875529944896698,0.06378155201673508,0.03289610520005226,-0.0056965225376188755,-0.02613513357937336,-0.05321216210722923,-0.9982249140739441
1747804813.128309,-0.875566303730011,0.06378871202468872,0.03291449323296547,-0.00464852899312973,-0.02587222494184971,-0.05325637385249138,-0.9982348680496216
1747804813.1472027,-0.875559389591217,0.06377241015434265,0.03288460150361061,-0.003942655399441719,-0.02624604105949402,-0.053476545959711075,-0.9982163310050964
1747804813.1570978,-0.8755343556404114,0.06370775401592255,0.03282024711370468,-0.0034961262717843056,-0.027403168380260468,-0.052955303341150284,-0.9982147216796875
1747804813.1978946,-0.8755555748939514,0.06379547715187073,0.03290113806724548,-0.004310662392526865,-0.02614450454711914,-0.05309589207172394,-0.9982378482818604
1747804813.227394,-0.8755397200584412,0.06378637999296188,0.032885562628507614,-0.005548423156142235,-0.02615562081336975,-0.05321715027093887,-0.9982250332832336
1747804813.257401,-0.8755455613136292,0.0637359544634819,0.03283945098519325,-0.002602614462375641,-0.027066435664892197,-0.05269651859998703,-0.9982403516769409
1747804813.287452,-0.8755367994308472,0.06376049667596817,0.032869137823581696,-0.004859662149101496,-0.026749137789011,-0.05357281491160393,-0.9981938004493713
1747804813.3176458,-0.8755351901054382,0.06380687654018402,0.03289502114057541,-0.005275405012071133,-0.026552481576800346,-0.053619690239429474,-0.9981943964958191
1747804813.3577964,-0.8755244612693787,0.063713937997818,0.03282200172543526,-0.003951856400817633,-0.026964394375681877,-0.05321041867136955,-0.9982113838195801
1747804813.37747,-0.8755207657814026,0.06372901797294617,0.032838545739650726,-0.003409156110137701,-0.026697643101215363,-0.052881479263305664,-0.9982380867004395
1747804813.3974123,-0.8755452632904053,0.06376410275697708,0.032878924161195755,-0.004740755073726177,-0.026672488078475,-0.05341443046927452,-0.9982049465179443
1747804813.4074292,-0.8755567669868469,0.06372812390327454,0.03282696381211281,-0.004049534909427166,-0.026829136535525322,-0.05291428416967392,-0.9982303977012634
1747804813.4274523,-0.8755698204040527,0.06380748003721237,0.03291023150086403,-0.0046250601299107075,-0.025805499404668808,-0.0533871054649353,-0.9982296824455261
1747804813.4373577,-0.8755543828010559,0.06377152353525162,0.032851796597242355,-0.00573684461414814,-0.026248039677739143,-0.05312228947877884,-0.9982265830039978
1747804813.467411,-0.8755340576171875,0.06370797753334045,0.03279474750161171,-0.0037289399188011885,-0.027125192806124687,-0.053102776408195496,-0.9982136487960815
1747804813.4975824,-0.8755638003349304,0.06378579139709473,0.03293570503592491,-0.004858677741140127,-0.026512151584029198,-0.05302802473306656,-0.9982292056083679
1747804813.517709,-0.8755513429641724,0.06378773599863052,0.03288918361067772,-0.005606833845376968,-0.026429804041981697,-0.05333980545401573,-0.9982109069824219
1747804813.5374331,-0.8755634427070618,0.06373623013496399,0.03282430022954941,-0.0037396543193608522,-0.026779530569911003,-0.05294308066368103,-0.9982314109802246
1747804813.5475287,-0.8755192160606384,0.06375768780708313,0.03284408897161484,-0.0033652521669864655,-0.029776176437735558,-0.052395034581422806,-0.9981767535209656
1747804813.567883,-0.8755645751953125,0.06378272920846939,0.0328756608068943,-0.005948298145085573,-0.02705851010978222,-0.053205810487270355,-0.9981991648674011
1747804813.5773666,-0.8755573034286499,0.0637870654463768,0.03288086876273155,-0.0061781760305166245,-0.026765810325741768,-0.05313156545162201,-0.9982095956802368
1747804813.5973394,-0.8755583167076111,0.06379406154155731,0.032904013991355896,-0.004249520134180784,-0.026587361469864845,-0.0530596487224102,-0.9982283711433411
1747804813.607366,-0.8755167722702026,0.0637933537364006,0.03287889063358307,-0.005171674303710461,-0.026895036920905113,-0.053591128438711166,-0.9981873035430908
1747804813.6274977,-0.8755475878715515,0.06379897892475128,0.03286692500114441,-0.004911559168249369,-0.02613183856010437,-0.05317804962396622,-0.9982309937477112
1747804813.647468,-0.8755578994750977,0.06378607451915741,0.03289434313774109,-0.005325653124600649,-0.026939431205391884,-0.0530303455889225,-0.9982153177261353
1747804813.6676164,-0.8755492568016052,0.06377792358398438,0.03287123143672943,-0.005571810994297266,-0.026463182643055916,-0.05330722779035568,-0.9982119798660278
1747804813.687479,-0.8755442500114441,0.06373647600412369,0.03284859657287598,-0.0026397830806672573,-0.02676994539797306,-0.05303052067756653,-0.998230516910553
1747804813.6974344,-0.8755691647529602,0.06375806778669357,0.03285223990678787,-0.004671437665820122,-0.0272313691675663,-0.05367765203118324,-0.9981760382652283
1747804813.7180734,-0.8755573630332947,0.06379589438438416,0.032897986471652985,-0.0055792853236198425,-0.026276880875229836,-0.053024254739284515,-0.9982319474220276
1747804813.737575,-0.8755542635917664,0.06378236413002014,0.032870832830667496,-0.005941340234130621,-0.026504678651690483,-0.053245022892951965,-0.9982119798660278
1747804813.747542,-0.8755454421043396,0.06372635811567307,0.03283488377928734,-0.0029923797119408846,-0.02648206800222397,-0.0532120019197464,-0.998227596282959
1747804813.7678864,-0.8755486011505127,0.06380333006381989,0.032897334545850754,-0.004832737147808075,-0.026232924312353134,-0.05335740000009537,-0.9982191920280457
1747804813.7776055,-0.8755544424057007,0.06372806429862976,0.03280952572822571,-0.002519237343221903,-0.027010980993509293,-0.052804261445999146,-0.9982364177703857
1747804813.7977676,-0.8755685687065125,0.06376172602176666,0.03282884508371353,-0.004210436716675758,-0.026422802358865738,-0.053527042269706726,-0.9982079267501831
