t,x,y,z,qx,qy,qz,qw
1748100811.0603178,-0.8829401135444641,0.06291009485721588,0.03381470590829849,0.009378272108733654,-0.023518448695540428,-0.02477749064564705,-0.9993723034858704
1748100811.0703444,-0.8829370737075806,0.06290282309055328,0.033788714557886124,0.009819856844842434,-0.023669304326176643,-0.02468540519475937,-0.999366819858551
1748100811.0906017,-0.882932722568512,0.06288918107748032,0.033775996416807175,0.009781988337635994,-0.023345643654465675,-0.024737298488616943,-0.9993734955787659
1748100811.1006057,-0.882951021194458,0.06291206181049347,0.03379107266664505,0.009844077751040459,-0.023802097886800766,-0.024788986891508102,-0.9993608593940735
1748100811.1202998,-0.8829498291015625,0.06289397180080414,0.03378654271364212,0.00981768686324358,-0.023733390495181084,-0.024751322343945503,-0.9993637204170227
1748100811.1302414,-0.8829482197761536,0.06289699673652649,0.03379350155591965,0.009890233166515827,-0.02349325455725193,-0.02475282922387123,-0.9993686079978943
1748100811.1407955,-0.8829453587532043,0.06289763748645782,0.0337783508002758,0.010173162445425987,-0.023882165551185608,-0.024488097056746483,-0.999363124370575
1748100811.1604273,-0.8829337954521179,0.06287723034620285,0.033764079213142395,0.010433086194097996,-0.02401878871023655,-0.02471967414021492,-0.999351441860199
1748100811.1804793,-0.8829315900802612,0.06290017813444138,0.03376147523522377,0.009793911129236221,-0.02426501363515854,-0.02442123182117939,-0.9993593096733093
1748100811.2003706,-0.882929801940918,0.06289444118738174,0.03379036486148834,0.009751553647220135,-0.023858988657593727,-0.024378838017582893,-0.9993705153465271
1748100811.2111952,-0.8829251527786255,0.06290853023529053,0.033804263919591904,0.010208099149167538,-0.02401168830692768,-0.024477243423461914,-0.9993599057197571
1748100811.2307024,-0.8829258680343628,0.06290342658758163,0.033789124339818954,0.00988219864666462,-0.023595916107296944,-0.02471979148685932,-0.9993670582771301
1748100811.2402387,-0.8829147219657898,0.06289982795715332,0.03379131108522415,0.009800240397453308,-0.023963188752532005,-0.024519024416804314,-0.9993640780448914
1748100811.263225,-0.8829244375228882,0.06289428472518921,0.03378276154398918,0.009704296477138996,-0.023894410580396652,-0.02478635683655739,-0.9993600249290466
1748100811.2703211,-0.8829216361045837,0.06289131194353104,0.03380604833364487,0.009711691178381443,-0.023723896592855453,-0.024810057133436203,-0.9993634819984436
1748100811.2902958,-0.8829153776168823,0.06289483606815338,0.0338122695684433,0.009645949117839336,-0.02378433384001255,-0.024663962423801422,-0.9993663430213928
1748100811.300416,-0.8829075694084167,0.06291279196739197,0.0338209792971611,0.009771382436156273,-0.02347388118505478,-0.024476243183016777,-0.9993770718574524
1748100811.320953,-0.8829125165939331,0.0629071518778801,0.03380414471030235,0.009685894474387169,-0.023735884577035904,-0.02484850585460663,-0.9993625283241272
1748100811.3503604,-0.8829388618469238,0.06291904300451279,0.03382907435297966,0.010149028152227402,-0.023764396086335182,-0.024629240855574608,-0.9993626475334167
1748100811.3703084,-0.8829318881034851,0.06288498640060425,0.033833928406238556,0.009406641125679016,-0.02401641383767128,-0.024688763543963432,-0.9993624091148376
1748100811.3802192,-0.8829285502433777,0.06292847543954849,0.033810511231422424,0.00972035899758339,-0.02368629351258278,-0.024458913132548332,-0.9993728995323181
1748100811.4005702,-0.8829373121261597,0.06291124224662781,0.03376837819814682,0.009717709384858608,-0.023341212421655655,-0.024653397500514984,-0.9993763566017151
1748100811.411152,-0.8829495310783386,0.06289549916982651,0.033812083303928375,0.009837900288403034,-0.024226652458310127,-0.02470436319708824,-0.999352753162384
1748100811.430814,-0.8829644918441772,0.06288833916187286,0.03381546214222908,0.009912903420627117,-0.02368360385298729,-0.02466302551329136,-0.9993661046028137
1748100811.4402971,-0.8829274773597717,0.06291361898183823,0.03378468006849289,0.009927615523338318,-0.024250661954283714,-0.024426165968179703,-0.9993582367897034
1748100811.4610329,-0.8829253315925598,0.06290951371192932,0.03371477872133255,0.012397829443216324,-0.02396075800061226,-0.024249760434031487,-0.9993419051170349
1748100811.4704373,-0.8829171061515808,0.06287939101457596,0.03374959155917168,0.009710489772260189,-0.024243399500846863,-0.024286936968564987,-0.999363899230957
1748100811.4903011,-0.8829295039176941,0.06289002299308777,0.03378427028656006,0.009626053273677826,-0.023836884647607803,-0.02478993497788906,-0.9993621706962585
1748100811.5005307,-0.8829112648963928,0.06289362162351608,0.033786650747060776,0.009426427073776722,-0.023555172607302666,-0.024982046335935593,-0.9993658661842346
1748100811.520328,-0.8829141855239868,0.06290303170681,0.03377596288919449,0.009577804245054722,-0.023496869951486588,-0.02473294921219349,-0.9993720650672913
1748100811.5302882,-0.8829277753829956,0.06289955228567123,0.033778004348278046,0.010132960975170135,-0.023371106013655663,-0.024971554055809975,-0.9993636012077332
1748100811.570364,-0.882911205291748,0.06289520114660263,0.03375035151839256,0.011967098340392113,-0.0240975059568882,-0.024329515174031258,-0.9993419051170349
1748100811.5803127,-0.8829175233840942,0.06291959434747696,0.03378995507955551,0.009851232171058655,-0.02340589091181755,-0.02461175248026848,-0.9993745684623718
1748100811.6005373,-0.8829294443130493,0.06289581209421158,0.03380998224020004,0.00997474417090416,-0.023804841563105583,-0.0248124822974205,-0.9993589520454407
1748100811.6303976,-0.8829193711280823,0.06289629638195038,0.0338297039270401,0.009908990934491158,-0.023848768323659897,-0.024706775322556496,-0.9993610978126526
1748100811.660844,-0.882926881313324,0.06290782988071442,0.03379402682185173,0.009648296050727367,-0.024061843752861023,-0.024486027657985687,-0.9993640780448914
1748100811.6903331,-0.8829258680343628,0.06291096657514572,0.03381494805216789,0.009674650616943836,-0.024231871590018272,-0.024825993925333023,-0.9993513226509094
1748100811.7116818,-0.8829399943351746,0.06289911270141602,0.03378300368785858,0.009978088550269604,-0.023704299703240395,-0.02449502982199192,-0.9993690848350525
1748100811.7403235,-0.8829469680786133,0.06288907676935196,0.03382183238863945,0.009195423685014248,-0.023786557838320732,-0.025034982711076736,-0.9993613362312317
1748100811.770368,-0.8829411864280701,0.06289446353912354,0.033769749104976654,0.009865996427834034,-0.024090148508548737,-0.024715609848499298,-0.9993554949760437
1748100811.80043,-0.8829640746116638,0.06288671493530273,0.03377344831824303,0.00989727582782507,-0.023539267480373383,-0.024815967306494713,-0.9993658661842346
1748100811.830303,-0.8829611539840698,0.06291192770004272,0.03379395231604576,0.00968127604573965,-0.02364259958267212,-0.024770982563495636,-0.9993667006492615
1748100811.860435,-0.8829543590545654,0.0629143938422203,0.03376279026269913,0.009617287665605545,-0.02344103530049324,-0.024845797568559647,-0.9993701577186584
1748100811.87035,-0.8829395771026611,0.06291761994361877,0.033800091594457626,0.009689630940556526,-0.023562511429190636,-0.02461363561451435,-0.9993724226951599
1748100811.8903153,-0.8829377889633179,0.06291043758392334,0.03379526734352112,0.009606916457414627,-0.024374807253479958,-0.02453991211950779,-0.9993554949760437
1748100811.9104397,-0.8829076886177063,0.06292583048343658,0.03380194678902626,0.010074345394968987,-0.02379896678030491,-0.024645250290632248,-0.9993621706962585
1748100811.9205103,-0.8829253911972046,0.06291700154542923,0.03380201384425163,0.009751084260642529,-0.02413311041891575,-0.02473529614508152,-0.999355137348175
1748100811.9403589,-0.8829434514045715,0.06290391087532043,0.03380007669329643,0.010350564494729042,-0.02441873773932457,-0.02460978552699089,-0.9993452429771423
1748100811.9709103,-0.8829518556594849,0.0629066750407219,0.033836785703897476,0.010238343849778175,-0.02409057319164276,-0.024477500468492508,-0.9993576407432556
1748100811.9803507,-0.8828943371772766,0.06289566308259964,0.03372841328382492,0.012468270026147366,-0.024191299453377724,-0.023954570293426514,-0.9993426203727722
1748100812.000459,-0.8828763961791992,0.06292926520109177,0.033702414482831955,0.01234349887818098,-0.02476494386792183,-0.02399352192878723,-0.9993290901184082
1748100812.0151522,-0.8829265832901001,0.0628969743847847,0.033808331936597824,0.009582600556313992,-0.023632662370800972,-0.024725843220949173,-0.9993689656257629
1748100812.0304124,-0.8829184770584106,0.06289609521627426,0.033810004591941833,0.009685765020549297,-0.024016784504055977,-0.024571498855948448,-0.9993626475334167
1748100812.0405421,-0.8828999400138855,0.06289183348417282,0.03376993536949158,0.01043331902474165,-0.023460065945982933,-0.02454264834523201,-0.9993690848350525
1748100812.0604234,-0.8829007744789124,0.06291521340608597,0.03376470506191254,0.009658817201852798,-0.024043183773756027,-0.02463197335600853,-0.9993607401847839
1748100812.070271,-0.8829235434532166,0.06290248781442642,0.03379411622881889,0.009889964945614338,-0.02378503419458866,-0.024672439321875572,-0.9993637204170227
1748100812.090225,-0.8829388618469238,0.06286625564098358,0.0337994210422039,0.009677156805992126,-0.023621423169970512,-0.024770881980657578,-0.9993671774864197
1748100812.1106534,-0.882982075214386,0.06290178000926971,0.03376481682062149,0.010154897347092628,-0.023727834224700928,-0.024572236463427544,-0.9993649125099182
1748100812.120546,-0.8829910755157471,0.06290064752101898,0.03377718850970268,0.010026117786765099,-0.02401488646864891,-0.02476828172802925,-0.9993545413017273
1748100812.1415982,-0.8829708099365234,0.06289642304182053,0.03377418592572212,0.010325971059501171,-0.02415517158806324,-0.024695878848433495,-0.9993497729301453
1748100812.1527565,-0.8829856514930725,0.0629035010933876,0.033795781433582306,0.00988532043993473,-0.023726671934127808,-0.024555133655667305,-0.9993680119514465
1748100812.170283,-0.8829839825630188,0.0629231259226799,0.03378639742732048,0.009881693869829178,-0.023977084085345268,-0.024267449975013733,-0.9993690848350525
1748100812.1802502,-0.8829732537269592,0.06289506703615189,0.03377237170934677,0.00965839996933937,-0.023986591026186943,-0.02463340573012829,-0.999362051486969
1748100812.200526,-0.8829731941223145,0.06290242820978165,0.03379981592297554,0.009871503338217735,-0.023771818727254868,-0.024391505867242813,-0.9993711113929749
1748100812.2108676,-0.8829596638679504,0.06290855258703232,0.03379468992352486,0.010145536623895168,-0.024225687608122826,-0.024378344416618347,-0.9993577599525452
1748100812.2303824,-0.8829628825187683,0.06289967149496078,0.03377382457256317,0.009319085627794266,-0.02356075309216976,-0.024772262200713158,-0.9993720650672913
1748100812.2402682,-0.8829628825187683,0.06289967149496078,0.03377382457256317,0.009319085627794266,-0.02356075309216976,-0.024772262200713158,-0.9993720650672913
1748100812.2602232,-0.8829842805862427,0.06289561092853546,0.03381237015128136,0.009928777813911438,-0.02431444451212883,-0.024555286392569542,-0.9993534684181213
1748100812.2702634,-0.8829801082611084,0.06289133429527283,0.033801302313804626,0.009521265514194965,-0.02404150553047657,-0.024543657898902893,-0.9993643164634705
1748100812.280302,-0.8829666376113892,0.06290321052074432,0.033815547823905945,0.009440372698009014,-0.02354872226715088,-0.02470169961452484,-0.9993728995323181
