t,x,y,z,qx,qy,qz,qw
1722331329.5670478,0.008370399,-0.002679449,0.020914739,-0.016574280336499214,-0.01525777205824852,0.004381484352052212,0.9997366070747375
1722331329.5686758,0.008365272,-0.0026984604,0.020913068,-0.01726859249174595,-0.015533184632658958,0.0037973166909068823,0.9997230172157288
1722331329.56965,0.008341133,-0.0027114493,0.020912426,-0.016064152121543884,-0.016524750739336014,0.003487747861072421,0.9997283220291138
1722331329.571185,0.008343501,-0.002722369,0.020906907,-0.01710912212729454,-0.01536464598029852,0.0038157382514327765,0.999728262424469
1722331329.5735476,0.008357361,-0.0027435375,0.020897735,-0.017334789037704468,-0.014370130375027657,0.0030271140858531,0.9997418522834778
1722331329.576403,0.008356652,-0.002733556,0.02091201,-0.01725015603005886,-0.014669365249574184,0.003111426020041108,0.9997387528419495
1722331329.577315,0.008377574,-0.002746473,0.020927226,-0.0177142433822155,-0.015237283892929554,0.0031607828568667173,0.9997219443321228
1722331329.5796614,0.00837581,-0.0027672986,0.02093001,-0.01732475496828556,-0.014983471482992172,0.002960688667371869,0.9997332692146301
1722331329.5818732,0.008366054,-0.0027662858,0.020900615,-0.01721765473484993,-0.01478844415396452,0.00288208806887269,0.9997382164001465
1722331329.5836158,0.008369278,-0.002762332,0.02087861,-0.017785456031560898,-0.014587714336812496,0.0025598290376365185,0.9997321367263794
1722331329.5856543,0.008372,-0.0027675424,0.020901995,-0.01720292679965496,-0.014989056624472141,0.002551665063947439,0.9997363686561584
1722331329.5901701,0.008388581,-0.0027714195,0.020906916,-0.017040936276316643,-0.015427950769662857,0.0028513441793620586,0.9997316598892212
1722331329.5912938,0.008378801,-0.0027580997,0.020909369,-0.01740754209458828,-0.014678305946290493,0.0028002753388136625,0.9997367858886719
1722331329.592964,0.008369143,-0.002774388,0.02089477,-0.01763061247766018,-0.01400081068277359,0.002409005770459771,0.999743640422821
1722331329.594502,0.008388487,-0.002764783,0.020919325,-0.017568178474903107,-0.014818807132542133,0.002457602182403207,0.9997327923774719
1722331329.5981035,0.008387508,-0.002765586,0.020929577,-0.017241546884179115,-0.015160463750362396,0.0024313952308148146,0.9997334480285645
1722331329.5991225,0.00837204,-0.0027697128,0.020907752,-0.017143916338682175,-0.015455488115549088,0.0029870718717575073,0.9997290968894958
1722331329.602123,0.008367314,-0.0027562873,0.020897828,-0.017403438687324524,-0.01421691756695509,0.002597331302240491,0.9997440576553345
1722331329.6099234,0.008371816,-0.002767052,0.02090547,-0.017186108976602554,-0.014838787727057934,0.002633169759064913,0.9997386932373047
1722331329.6197057,0.008381381,-0.0027680697,0.020920416,-0.01673225685954094,-0.014772831462323666,0.0029059022199362516,0.9997466206550598
1722331329.6290703,0.0083493255,-0.0027669456,0.020918805,-0.01723656989634037,-0.015172011218965054,0.002666529966518283,0.9997327327728271
1722331329.6417487,0.008350292,-0.0027752032,0.020860925,-0.01621527224779129,-0.01635020785033703,0.0027247178368270397,0.9997311234474182
1722331329.6490033,0.008367866,-0.0027760242,0.020916378,-0.01711507886648178,-0.014908273704349995,0.0027548617217689753,0.9997385740280151
1722331329.6616294,0.00837522,-0.00277587,0.020906493,-0.017670148983597755,-0.014742676168680191,0.0026927520520985126,0.9997315406799316
1722331329.6708875,0.008366162,-0.0026357002,0.020893827,-0.016543513163924217,-0.014181763865053654,0.005366695113480091,0.999748170375824
1722331329.679145,0.008381414,-0.0026111088,0.020863026,-0.01707092858850956,-0.014012389816343784,0.005319248419255018,0.9997419118881226
1722331329.6903193,0.008363631,-0.0026875488,0.020931508,-0.017362767830491066,-0.01530984416604042,0.00400709081441164,0.9997239708900452
1722331329.7021508,0.00835975,-0.0027076425,0.020922257,-0.01705085299909115,-0.01533493958413601,0.003726508002728224,0.9997300505638123
1722331329.7111125,0.008345228,-0.0027048162,0.020930974,-0.016917912289500237,-0.015325922518968582,0.003875693306326866,0.9997318983078003
1722331329.7206957,0.008359666,-0.002717911,0.020905662,-0.017252111807465553,-0.015034512616693974,0.003179023275151849,0.999733030796051
1722331329.7292037,0.008387757,-0.00263779,0.020881884,-0.01703575812280178,-0.014057677239179611,0.005566323641687632,0.9997405409812927
1722331329.7399483,0.008364516,-0.0026844302,0.020924341,-0.01658707670867443,-0.016094161197543144,0.004201129544526339,0.9997240304946899
1722331329.7496552,0.008348492,-0.0027035156,0.020912291,-0.017576435580849648,-0.014806248247623444,0.0037800271529704332,0.9997287392616272
1722331329.7592928,0.008359417,-0.0026958003,0.020910762,-0.0171956866979599,-0.01534431241452694,0.0038395675364881754,0.9997270107269287
1722331329.7695894,0.008371332,-0.0027381335,0.020889204,-0.017132466658949852,-0.015309792943298817,0.0032980216201394796,0.9997305274009705
