t,x,y,z,qx,qy,qz,qw
1722349728.754791,1.0607324,-0.07017037,0.023975791,0.03205026313662529,0.0005860669771209359,-0.03936612606048584,0.998710572719574
1722349728.7552845,1.0607173,-0.07013363,0.023935223,0.031659357249736786,0.0008746998501010239,-0.03964776545763016,0.9987116456031799
1722349728.7557902,1.0607156,-0.07014669,0.023930205,0.0318073108792305,0.0003815335512626916,-0.03943827748298645,0.9987155795097351
1722349728.757992,1.060731,-0.07015803,0.023984466,0.032285671681165695,0.0004210971819702536,-0.03952649235725403,0.9986966848373413
1722349728.7596204,1.060725,-0.07016925,0.023969129,0.03179314360022545,0.00044770166277885437,-0.039533548057079315,0.9987122416496277
1722349728.76248,1.0607339,-0.07013659,0.023958761,0.031778112053871155,0.0005736284074373543,-0.0396774485707283,0.9987069368362427
1722349728.7632132,1.0607384,-0.07017065,0.023930883,0.032192662358284,0.0003376216918695718,-0.03963753581047058,0.9986953735351562
1722349728.7646358,1.0607394,-0.07016639,0.023993477,0.03177578002214432,0.0007270572823472321,-0.039711806923151016,0.9987055063247681
1722349728.766268,1.0607408,-0.07016041,0.023992892,0.03260002285242081,0.0005316769238561392,-0.03951891139149666,0.9986867308616638
1722349728.7691538,1.0607305,-0.07014766,0.023931615,0.03176606073975563,0.00035474839387461543,-0.039457838982343674,0.9987161159515381
1722349728.779028,1.0607243,-0.070152804,0.023955617,0.031591061502695084,0.0005133054219186306,-0.03955908492207527,0.9987176060676575
1722349728.7875705,1.0607386,-0.07017152,0.02397598,0.03217438980937004,0.0004196202498860657,-0.03958624601364136,0.9986979365348816
1722349728.7980266,1.0607355,-0.070172794,0.023979694,0.03184817358851433,0.0004224728618282825,-0.03944585844874382,0.9987139701843262
1722349728.8089554,1.0607287,-0.07016693,0.023953347,0.032331306487321854,0.00041883569792844355,-0.03941252455115318,0.9986997246742249
1722349728.8221126,1.0607332,-0.07013836,0.023939328,0.032029200345277786,0.0005356306210160255,-0.03951526805758476,0.9987053275108337
1722349728.8277824,1.0607364,-0.0701492,0.023949374,0.0321807824075222,0.00041034072637557983,-0.03934691846370697,0.9987071752548218
1722349728.8379443,1.060734,-0.07016772,0.023995759,0.03261777013540268,0.0009263798710890114,-0.039505939930677414,0.9986864328384399
1722349728.8479066,1.0607237,-0.07015096,0.02394709,0.03152494505047798,0.0002825483970809728,-0.039308812469244,0.9987296462059021
